### Module positions - created on 10/03/17 11:46:08 ###
### Printed by Pcbnew version kicad 4.0.7
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val       Package                PosX       PosY       Rot  Side
C1        2.2u      C_0603               3.8386    -3.6614    0.0000  bottom
C2        1u        C_0603               4.8031    -3.8976    0.0000  bottom
C3        1u        C_0603               4.0157    -1.4567  180.0000  bottom
C6        1u        C_0603               4.5866    -3.2480    0.0000  bottom
C7        1u        C_0603               4.6063    -1.1220    0.0000  bottom
C10       1u        C_0603               4.6063    -2.9331    0.0000  bottom
C11       1u        C_0603               4.7047    -0.9055    0.0000  bottom
C14       22u       C_0805               3.5630    -3.6614    0.0000  bottom
C15       1u        C_0603               4.9016    -2.7756  270.0000  bottom
C16       1u        C_0603               4.7244    -0.6890    0.0000  bottom
C19       10n       C_0603               4.8031    -3.8189    0.0000  bottom
C20       10n       C_0603               4.0157    -1.5551  180.0000  bottom
C21       10n       C_0603               4.6654    -3.3465    0.0000  bottom
C22       10n       C_0603               4.7047    -1.2008    0.0000  bottom
C23       10n       C_0603               4.7244    -3.0315    0.0000  bottom
C24       10n       C_0603               4.5669    -0.7283    0.0000  bottom
C25       10n       C_0603               4.5276    -2.7756  270.0000  bottom
C26       10n       C_0603               4.7244    -0.7677    0.0000  bottom
D1        31v       PowerDI5             5.2953    -2.7953   90.0000  bottom
D2        31v       PowerDI5             5.1772    -1.2205   90.0000  bottom
L1        10u       6045_inductor        4.2717    -3.6811  270.0000  bottom
L2        10u       6045_inductor        4.2717    -1.5354  270.0000  bottom
L3        10u       6045_inductor        4.2717    -3.3465  270.0000  bottom
L4        10u       6045_inductor        4.2717    -1.2205  270.0000  bottom
L5        10u       6045_inductor        4.2717    -3.0315  270.0000  bottom
L6        10u       6045_inductor        4.2717    -0.9055  270.0000  bottom
L7        10u       6045_inductor        4.2717    -2.7165  270.0000  bottom
L8        10u       6045_inductor        4.2717    -0.5906  270.0000  bottom
R1        42.2k     R_0603               3.6969    -4.1732  270.0000  bottom
R2        154k      R_0603               3.7756    -4.1732  270.0000  bottom
## End
